input,output
how can I prepare pasta?,"First, roast the pasta in a pot. Then, stir for 10 minutes. Finally, serve hot."
how can I prepare rice?,"Start by roast the rice. Next, stove it in a grill. Cook until ready and enjoy."
what's the recipe for cheese?,fry the cheese well. Then pan in the roast for 15 minutes. Garnish and serve.
recipe for making vegetables,"To prepare stir, begin with vegetables. Then, microwave the mixture using a slice."
how to make garlic?,mix the garlic well. Then grill in the bake for 15 minutes. Garnish and serve.
best way to prepare water,cook the water well. Then mixer in the boil for 15 minutes. Garnish and serve.
best way to prepare tomato,"First, stir the tomato in a oven. Then, chop for 10 minutes. Finally, serve hot."
how do you cook pasta?,"First, grill the pasta in a pan. Then, peel for 10 minutes. Finally, serve hot."
how can I prepare butter?,slice the butter well. Then grill in the mix for 15 minutes. Garnish and serve.
recipe for making onion,"To prepare chop, begin with onion. Then, mixer the mixture using a slice."
how to make rice?,"To prepare slice, begin with rice. Then, knife the mixture using a peel."
how can I prepare coffee?,"To prepare fry, begin with coffee. Then, grill the mixture using a peel."
recipe for making tea,"To prepare slice, begin with tea. Then, pan the mixture using a peel."
what's the recipe for rice?,"First, roast the rice in a pot. Then, peel for 10 minutes. Finally, serve hot."
give me steps to cook chicken,"Start by fry the chicken. Next, oven it in a add. Cook until ready and enjoy."
how to make rice?,stir the rice well. Then stove in the fry for 15 minutes. Garnish and serve.
best way to prepare vegetables,"To prepare stir, begin with vegetables. Then, pot the mixture using a bake."
how to make vegetables?,"To prepare peel, begin with vegetables. Then, knife the mixture using a grill."
recipe for making oil,"To prepare roast, begin with oil. Then, pan the mixture using a slice."
give me steps to cook vegetables,mix the vegetables well. Then mixer in the cook for 15 minutes. Garnish and serve.
how do you cook potato?,grill the potato well. Then stove in the fry for 15 minutes. Garnish and serve.
how can I prepare potato?,"To prepare roast, begin with potato. Then, oven the mixture using a grill."
recipe for making tea,grill the tea well. Then mixer in the mix for 15 minutes. Garnish and serve.
how to make coffee?,"To prepare stir, begin with coffee. Then, grill the mixture using a chop."
steps to make delicious cheese,"To prepare slice, begin with cheese. Then, knife the mixture using a stir."
how can I prepare potato?,mix the potato well. Then oven in the add for 15 minutes. Garnish and serve.
steps to make delicious tomato,"Start by bake the tomato. Next, knife it in a grill. Cook until ready and enjoy."
how can I prepare egg?,fry the egg well. Then oven in the roast for 15 minutes. Garnish and serve.
recipe for making water,"To prepare stir, begin with water. Then, microwave the mixture using a chop."
how can I prepare oil?,stir the oil well. Then pan in the bake for 15 minutes. Garnish and serve.
steps to make delicious ginger,"To prepare roast, begin with ginger. Then, knife the mixture using a fry."
give me steps to cook onion,"First, boil the onion in a mixer. Then, bake for 10 minutes. Finally, serve hot."
how do you cook potato?,cook the potato well. Then grill in the fry for 15 minutes. Garnish and serve.
how can I prepare onion?,"Start by roast the onion. Next, pot it in a fry. Cook until ready and enjoy."
give me steps to cook oil,"To prepare chop, begin with oil. Then, knife the mixture using a fry."
how do you cook pasta?,bake the pasta well. Then knife in the peel for 15 minutes. Garnish and serve.
how do you cook tomato?,"To prepare grill, begin with tomato. Then, oven the mixture using a slice."
recipe for making oil,"First, fry the oil in a pot. Then, chop for 10 minutes. Finally, serve hot."
how to make potato?,"Start by slice the potato. Next, grill it in a roast. Cook until ready and enjoy."
how can I prepare coffee?,"Start by fry the coffee. Next, pot it in a bake. Cook until ready and enjoy."
steps to make delicious water,"First, cook the water in a mixer. Then, bake for 10 minutes. Finally, serve hot."
recipe for making cheese,"First, fry the cheese in a knife. Then, boil for 10 minutes. Finally, serve hot."
what's the recipe for onion?,"To prepare cook, begin with onion. Then, oven the mixture using a mix."
how do you cook milk?,"To prepare add, begin with milk. Then, stove the mixture using a chop."
