input,output
how to make dal?,"Slice dal, dip in batter, deep fry until crisp, and enjoy."
how to make dal?,"Mix dal with herbs and cheese, bake at 180°C for 25 minutes."
how to make noodles?,"Whisk eggs with noodles, cook on medium flame, and fold into an omelette."
how to make tea?,"Slice tea, dip in batter, deep fry until crisp, and enjoy."
how to make tea?,"Fry tea until golden, then simmer in curry sauce for 10 minutes."
how to make rice?,"Steam rice for 15 minutes, season with salt and pepper, and serve."
how to make pasta?,"Soak pasta in water, grind into paste, cook on low flame until thickened."
how to make cake?,"Slice cake, dip in batter, deep fry until crisp, and enjoy."
how to make vegetables?,"Steam vegetables for 15 minutes, season with salt and pepper, and serve."
how to make pasta?,"Soak pasta in water, grind into paste, cook on low flame until thickened."
how to make bread?,"Marinate bread with spices, grill for 20 minutes, and garnish with coriander."
how to make tea?,"Whisk eggs with tea, cook on medium flame, and fold into an omelette."
how to make chicken?,"Marinate chicken with spices, grill for 20 minutes, and garnish with coriander."
how to make bread?,"Mix bread with herbs and cheese, bake at 180°C for 25 minutes."
how to make noodles?,"Mix noodles with herbs and cheese, bake at 180°C for 25 minutes."
how to make chicken?,"Fry chicken until golden, then simmer in curry sauce for 10 minutes."
how to make dal?,"Mix dal with herbs and cheese, bake at 180°C for 25 minutes."
how to make eggs?,"Whisk eggs with eggs, cook on medium flame, and fold into an omelette."
how to make cake?,"Mix cake with herbs and cheese, bake at 180°C for 25 minutes."
how to make tea?,"Slice tea, dip in batter, deep fry until crisp, and enjoy."
how to make vegetables?,"Marinate vegetables with spices, grill for 20 minutes, and garnish with coriander."
how to make pasta?,"Steam pasta for 15 minutes, season with salt and pepper, and serve."
how to make bread?,"Mix bread with herbs and cheese, bake at 180°C for 25 minutes."
how to make noodles?,"Heat oil in a pan, add chopped noodles, sauté for 5 minutes, and serve hot."
how to make noodles?,"Soak noodles in water, grind into paste, cook on low flame until thickened."
how to make noodles?,"Fry noodles until golden, then simmer in curry sauce for 10 minutes."
how to make tea?,"Soak tea in water, grind into paste, cook on low flame until thickened."
how to make bread?,"Mix bread with herbs and cheese, bake at 180°C for 25 minutes."
how to make noodles?,"Whisk eggs with noodles, cook on medium flame, and fold into an omelette."
how to make vegetables?,"Whisk eggs with vegetables, cook on medium flame, and fold into an omelette."
how to make cake?,"Roast cake in oven at 200°C for 30 minutes, let it cool, then serve."
how to make cake?,"Slice cake, dip in batter, deep fry until crisp, and enjoy."
how to make rice?,"Whisk eggs with rice, cook on medium flame, and fold into an omelette."
how to make chicken?,"Mix chicken with herbs and cheese, bake at 180°C for 25 minutes."
how to make noodles?,"Fry noodles until golden, then simmer in curry sauce for 10 minutes."
how to make noodles?,"Roast noodles in oven at 200°C for 30 minutes, let it cool, then serve."
how to make dal?,"Whisk eggs with dal, cook on medium flame, and fold into an omelette."
how to make vegetables?,"Fry vegetables until golden, then simmer in curry sauce for 10 minutes."
how to make pasta?,"Heat oil in a pan, add chopped pasta, sauté for 5 minutes, and serve hot."
how to make eggs?,"Roast eggs in oven at 200°C for 30 minutes, let it cool, then serve."
how to make vegetables?,"Roast vegetables in oven at 200°C for 30 minutes, let it cool, then serve."
how to make bread?,"Heat oil in a pan, add chopped bread, sauté for 5 minutes, and serve hot."
how to make eggs?,"Fry eggs until golden, then simmer in curry sauce for 10 minutes."
how to make bread?,"Mix bread with herbs and cheese, bake at 180°C for 25 minutes."
how to make chicken?,"Slice chicken, dip in batter, deep fry until crisp, and enjoy."
how to make pasta?,"Marinate pasta with spices, grill for 20 minutes, and garnish with coriander."
how to make eggs?,"Marinate eggs with spices, grill for 20 minutes, and garnish with coriander."
how to make vegetables?,"Boil water, add vegetables, cook for 10 minutes, drain and serve."
how to make pasta?,"Mix pasta with herbs and cheese, bake at 180°C for 25 minutes."
how to make cake?,"Mix cake with herbs and cheese, bake at 180°C for 25 minutes."
how to make chicken?,"Roast chicken in oven at 200°C for 30 minutes, let it cool, then serve."
how to make chicken?,"Whisk eggs with chicken, cook on medium flame, and fold into an omelette."
how to make eggs?,"Heat oil in a pan, add chopped eggs, sauté for 5 minutes, and serve hot."
how to make pasta?,"Steam pasta for 15 minutes, season with salt and pepper, and serve."
how to make pasta?,"Whisk eggs with pasta, cook on medium flame, and fold into an omelette."
how to make cake?,"Mix cake with herbs and cheese, bake at 180°C for 25 minutes."
how to make chicken?,"Steam chicken for 15 minutes, season with salt and pepper, and serve."
how to make tea?,"Slice tea, dip in batter, deep fry until crisp, and enjoy."
how to make chicken?,"Whisk eggs with chicken, cook on medium flame, and fold into an omelette."
how to make noodles?,"Fry noodles until golden, then simmer in curry sauce for 10 minutes."
how to make eggs?,"Heat oil in a pan, add chopped eggs, sauté for 5 minutes, and serve hot."
how to make dal?,"Mix dal with herbs and cheese, bake at 180°C for 25 minutes."
how to make cake?,"Roast cake in oven at 200°C for 30 minutes, let it cool, then serve."
how to make chicken?,"Whisk eggs with chicken, cook on medium flame, and fold into an omelette."
how to make eggs?,"Steam eggs for 15 minutes, season with salt and pepper, and serve."
how to make tea?,"Whisk eggs with tea, cook on medium flame, and fold into an omelette."
how to make rice?,"Marinate rice with spices, grill for 20 minutes, and garnish with coriander."
